Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Moeda,Valor,V_m2,cep,latitude,longitude,Point,setor_censo
rua chafic ganem,Vila das Mercês,São Paulo,140,3,2,4,R$,665000.0,4750.0,4165070.0,-23.6230791,-46.6064887,POINT (-46.6064887 -23.6230791),355030868000159
rua arapixi,Chácara Monte Alegre,São Paulo,350,4,7,10,R$,1750000.0,5000.0,4647040.0,-23.650863,-46.679335,POINT (-46.679335 -23.650863),355030871000076
rua almirante pereira guimarães,Pacaembu,São Paulo,457,4,2,7,R$,2200000.0,4814.004376367615,1250001.0,-23.547494,-46.6716607,POINT (-46.6716607 -23.547494),355030860000079
rua robélia,Jardim Prudência,São Paulo,632,5,7,6,R$,3000000.0,4746.835443037975,4648240.0,-23.652,-46.6765407,POINT (-46.6765407 -23.652),355030822000266
rua lourenço de almeida prado,Vila Tramontano,São Paulo,1200,6,7,8,R$,9000000.0,7500.0,5690090.0,-23.6137103,-46.7088729,POINT (-46.7088729 -23.6137103),355030854000062
rua doutor odon carlos de figueiredo ferraz,Parque São Domingos,São Paulo,305,4,6,5,R$,1350000.0,4426.229508196721,5121000.0,-23.506136,-46.729868,POINT (-46.729868 -23.506136),355030895000078
rua santos dumont,Jardim Petrópolis,São Paulo,567,5,5,4,R$,3490000.0,6155.202821869489,16900061.0,-20.9053701,-51.3839025,POINT (-51.3839025 -20.9053701),
rua arizona,Cidade Monções,São Paulo,180,3,5,5,R$,1300000.0,7222.222222222223,6820470.0,-23.6592439,-46.7987361,POINT (-46.7987361 -23.6592439),
avenida santo amaro,Brooklin Paulista,São Paulo,95,2,2,1,R$,545000.0,5736.8421052631575,4505000.0,-23.6536633,-46.7066927,POINT (-46.7066927 -23.6536633),355030871000031
rua joaquim cândido de azevedo marques,Vila Morumbi,São Paulo,580,4,5,10,R$,2300000.0,3965.5172413793102,5688020.0,-23.6095104,-46.7110049,POINT (-46.7110049 -23.6095104),355030854000062
rua doutor joão dalmácio azevedo,Cidade Jardim,São Paulo,900,4,6,8,R$,8400000.0,9333.333333333334,5676010.0,-23.584652,-46.691495,POINT (-46.691495 -23.584652),355030862000169
rua antônio cantarella,Vila Santo Estéfano,São Paulo,143,3,3,2,R$,614800.0,4299.300699300699,4153060.0,-23.6268413,-46.623783,POINT (-46.623783 -23.6268413),355030827000043
avenida mahatma gandhi,Interlagos,São Paulo,385,3,8,6,R$,1680000.0,4363.636363636364,4789000.0,-23.7053768,-46.7059499,POINT (-46.7059499 -23.7053768),355030823000170
rua gustavo da silveira,Vila Santa Catarina,São Paulo,180,4,3,2,R$,580000.0,3222.222222222222,4376002.0,-23.6529584,-46.656497,POINT (-46.656497 -23.6529584),355030838000039
rua menaldo rodrigues,Jardim Luzitânia,São Paulo,585,4,5,4,R$,5900000.0,10085.470085470086,4030010.0,-23.5919234,-46.6525084,POINT (-46.6525084 -23.5919234),355030832000157
rua brigadeiro gama barcelos,Parque Jabaquara,São Paulo,148,3,2,4,R$,890000.0,6013.513513513513,4355070.0,-23.6331967,-46.6571215,POINT (-46.6571215 -23.6331967),355030815000033
alameda dos anapurus,Indianópolis,São Paulo,605,4,7,6,R$,3300000.0,5454.545454545455,4087000.0,-23.6083416,-46.6590842,POINT (-46.6590842 -23.6083416),355030832000076
rua professor castro soromenho,Vila Congonhas,São Paulo,117,2,3,2,R$,850000.0,7264.957264957265,4624070.0,-23.6280345,-46.6689733,POINT (-46.6689733 -23.6280345),355030815000101
rua florindo braglia,Jardim São Paulo(Zona Norte),São Paulo,235,4,4,3,R$,1200000.0,5106.382978723404,2043075.0,-23.4879834,-46.6180241,POINT (-46.6180241 -23.4879834),355030870000141
rua piave,Vila Inah,São Paulo,385,3,4,6,R$,1900000.0,4935.064935064935,5620010.0,-23.593693,-46.7234626,POINT (-46.7234626 -23.593693),355030894000098
rua sacadura cabral,Lapa,São Paulo,37,1,2,1,R$,510000.0,13783.783783783783,16055510.0,-21.1920581,-50.4301621,POINT (-50.4301621 -21.1920581),
rua padre vicente heckel,Parque Jabaquara,São Paulo,274,3,2,6,R$,939000.0,3427.007299270073,4357050.0,-23.6358387,-46.6562994,POINT (-46.6562994 -23.6358387),355030815000061
rua andré saraiva,Vila Sônia,São Paulo,125,2,2,2,R$,689000.0,5512.0,5626000.0,-23.5938903,-46.7339125,POINT (-46.7339125 -23.5938903),355030894000040
rua juvenal galeno,Jardim da Saúde,São Paulo,270,4,4,2,R$,890000.0,3296.296296296296,13474431.0,-22.7020472,-47.2886334,POINT (-47.2886334 -22.7020472),
rua izabel velho,Vila São Vicente,São Paulo,116,3,4,2,R$,490000.0,4224.137931034483,2733110.0,-23.4944744,-46.6964286,POINT (-46.6964286 -23.4944744),355030829000006
rua professor vahia de abreu,Vila Olímpia,São Paulo,94,3,4,1,R$,1200000.0,12765.95744680851,4549000.0,-23.6039676,-46.6755368,POINT (-46.6755368 -23.6039676),355030835000026
rua rosalino silva,Jardim Itapeva,São Paulo,129,3,3,3,R$,620000.0,4806.201550387597,4674140.0,-23.6649847,-46.6869035,POINT (-46.6869035 -23.6649847),355030816000074
rua canudos,Jardim da Glória,São Paulo,230,3,2,3,R$,1200000.0,5217.391304347826,8774160.0,-23.5386445,-46.1709012,POINT (-46.1709012 -23.5386445),
rua canudos,Jardim da Glória,São Paulo,229,3,2,3,R$,1199999.0,5240.170305676856,8774160.0,-23.5386445,-46.1709012,POINT (-46.1709012 -23.5386445),
rua auguste clesinger,Vila do Bosque,São Paulo,273,5,5,3,R$,1270000.0,4652.014652014652,4147000.0,-23.6190938,-46.6293694,POINT (-46.6293694 -23.6190938),355030877000110
rua marcondes de andrade,Vila São José (Ipiranga),São Paulo,177,3,2,3,R$,980000.0,5536.723163841808,4265040.0,-23.586699,-46.6123373,POINT (-46.6123373 -23.586699),355030834000022
rua doutor monteiro tapajós,Vila Santo Estéfano,São Paulo,121,3,2,2,R$,590000.0,4876.033057851239,4152040.0,-23.6232678,-46.6263875,POINT (-46.6263875 -23.6232678),355030827000026
rua sônia ribeiro,Campo Belo,São Paulo,250,4,4,4,R$,1750000.0,7000.0,4621010.0,-23.6315875,-46.6733583,POINT (-46.6733583 -23.6315875),355030815000020
rua guaxatuba,Santo Amaro,São Paulo,202,2,1,4,R$,1000000.0,4950.495049504951,4662050.0,-23.6613015,-46.7030959,POINT (-46.7030959 -23.6613015),355030816000170
rua honduras,Jardim Paulista,São Paulo,360,4,6,8,R$,7497000.0,20825.0,13465772.0,-22.7494346,-47.3422985,POINT (-47.3422985 -22.7494346),
rua mendes pais,Vila Nova Conceição,São Paulo,564,3,5,3,R$,8500000.0,15070.921985815603,4507090.0,-23.5883331,-46.6665911,POINT (-46.6665911 -23.5883331),355030832000033
travessa professor dalmo belfort de mattos,Jardim Miriam,São Paulo,67,2,1,1,R$,257600.0,3844.776119402985,4416330.0,-23.6775799,-46.6363562,POINT (-46.6363562 -23.6775799),355030822000240
largo são rafael,Mooca,São Paulo,103,3,2,2,R$,750000.0,7281.553398058252,3113020.0,-23.6292891,-46.4596566,POINT (-46.4596566 -23.6292891),355030875000028
avenida manoel dos reis araújo,Jardim Marajoara,São Paulo,500,3,6,6,R$,2300000.0,4600.0,4664000.0,-23.6535782,-46.6849421,POINT (-46.6849421 -23.6535782),355030816000159
rua roger chaffee,Interlagos,São Paulo,345,4,6,4,R$,2500000.0,7246.376811594203,4788110.0,-23.7010282,-46.709959,POINT (-46.709959 -23.7010282),355030879000045
rua giácomo carissimi,Vila Adalgisa,São Paulo,120,3,2,2,R$,580000.0,4833.333333333333,5386120.0,-23.5616717,-46.7633741,POINT (-46.7633741 -23.5616717),355030867000012
rua xavier da rocha,Parque da Vila Prudente,São Paulo,101,2,1,2,R$,470000.0,4653.465346534654,3139070.0,-23.5853539,-46.5772203,POINT (-46.5772203 -23.5853539),355030893000033
rua gastão da cunha,Vila Paulista,São Paulo,182,3,2,2,R$,690000.0,3791.2087912087914,4361090.0,-23.6437094,-46.6641969,POINT (-46.6641969 -23.6437094),355030838000226
rua comandante ismael guilherme,Jardim Luzitânia,São Paulo,605,4,7,4,R$,12000000.0,19834.710743801654,4031120.0,-23.5947353,-46.6599248,POINT (-46.6599248 -23.5947353),355030832000002
rua salvador fiordelisio,Vila Bertioga,São Paulo,82,3,4,2,R$,599000.0,7304.878048780488,3181040.0,-23.5569694,-46.5823301,POINT (-46.5823301 -23.5569694),355030801000111
rua oronzo scattone,Vila Gumercindo,São Paulo,75,2,1,1,R$,495000.0,6600.0,4130070.0,-23.6033068,-46.6184818,POINT (-46.6184818 -23.6033068),355030827000113
rua luís da silva araújo,Jardim Leonor Mendes de Barros,São Paulo,287,4,6,6,R$,1090000.0,3797.909407665505,2347070.0,-23.46143,-46.605017,POINT (-46.605017 -23.46143),355030881000010
rua marechal bina machado,Jardim Marajoara,São Paulo,271,4,5,4,R$,1800000.0,6642.066420664207,4663120.0,-23.6538431,-46.6851643,POINT (-46.6851643 -23.6538431),355030816000159
rua marechal bina machado,Jardim Marajoara,São Paulo,450,3,2,4,R$,2500000.0,5555.555555555556,4663120.0,-23.6538431,-46.6851643,POINT (-46.6851643 -23.6538431),355030816000159
rua getúlio vargas filho,Cidade Vargas,São Paulo,135,3,2,4,R$,850000.0,6296.2962962962965,4318030.0,-23.645287,-46.6361156,POINT (-46.6361156 -23.645287),355030838000148
rua miranda guerra,Jardim Petrópolis,São Paulo,500,4,12,5,R$,3000000.0,6000.0,4640000.0,-23.6340995,-46.681965,POINT (-46.681965 -23.6340995),355030871000056
avenida manoel dos reis araújo,Jardim Marajoara,São Paulo,271,3,4,6,R$,1400000.0,5166.051660516605,4664000.0,-23.6535782,-46.6849421,POINT (-46.6849421 -23.6535782),355030816000159
rua veríssimo da silva,Jardim Nossa Senhora do Carmo,São Paulo,102,2,3,2,R$,385000.0,3774.5098039215686,8275270.0,-23.5716734,-46.4805468,POINT (-46.4805468 -23.5716734),355030857000065
rua marcos fernandes,Jardim da Saúde,São Paulo,173,3,4,4,R$,960000.0,5549.132947976878,4149120.0,-23.618592,-46.6186559,POINT (-46.6186559 -23.618592),355030827000003
praça contendas,Vila Anhangüera,São Paulo,101,2,2,3,R$,850000.0,8415.841584158416,4673170.0,-20.683333,-47.183333,POINT (-47.183333 -20.683333),
avenida manoel dos reis araújo,Jardim Marajoara,São Paulo,392,3,5,4,R$,1800000.0,4591.836734693878,4664000.0,-23.6535782,-46.6849421,POINT (-46.6849421 -23.6535782),355030816000159
